Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LayoutProvider,100,900,842,1508,1592,1795,278,1880,80.000%,.06063,0.59,0.13
ListofViewProviders,100,759,809,1112,1178,1321,272,1351,80.000%,.06065,0.17,0.15
ViewIndividualProviders,500,872,927,1131,1157,1306,304,1511,2.600%,.36003,0.66,0.79
EntityLayoutProviders,500,1308,1362,1647,1710,1898,337,2903,3.000%,.35980,28.84,0.79
Provider Contact Information,500,811,828,1097,1133,1311,292,1366,3.200%,.35963,0.70,0.94
Associated Healthcare Facilities,500,820,831,1105,1131,1201,280,1944,3.400%,.35956,0.50,0.93
Associated Cases,500,818,858,1105,1138,1252,271,1379,3.800%,.35896,0.50,0.93
Paginated Call,99,802,812,1118,1507,1634,275,1638,86.869%,.07750,0.49,0.17
List patient Dynamic,99,784,804,1057,1091,1376,260,1380,86.869%,.07755,0.21,0.21
View patient Dynamic,325,720,781,1068,1093,1156,267,1768,20.308%,.28693,0.44,0.63
ICD 10 Accordian,325,711,780,1039,1080,1115,284,1155,20.615%,.28679,0.43,0.78
Patient Therapies Accordian,325,693,771,1075,1098,1154,291,1190,20.615%,.28686,0.38,0.83
patient cases Accordian,325,1003,925,1371,1527,1650,297,16553,20.615%,.28689,2.09,0.79
Patient Address Accordian,325,697,761,1057,1093,1179,286,1584,20.615%,.28681,0.46,0.78
Patient Contact Accordian,325,716,784,1059,1078,1131,286,1921,20.615%,.28671,0.47,0.77
Patient Consent Accordian,325,717,788,1061,1077,1142,290,1626,20.615%,.28675,0.52,0.79
Associated Contacts Accordian,575,756,790,1071,1105,1178,312,1287,11.652%,.50754,0.71,1.34
Insurance Policy Accordian,325,772,820,1105,1140,1261,301,2776,20.923%,.28685,0.52,0.80
Payer List,99,768,813,1081,1118,1271,299,1303,89.899%,.08902,0.10,0.22
View Payer,250,727,791,1079,1106,1157,305,1257,0.000%,2.00372,2.55,4.39
Payer Phone and Fax Accordian,250,696,741,1074,1106,1219,296,1837,0.000%,1.99167,2.52,5.21
Associated Plans Accordian,250,721,756,1090,1122,1203,309,1328,0.000%,1.99504,4.40,5.54
Plan Phone and Fax Accordian,250,999,994,1351,1448,1740,512,2247,0.000%,1.98255,3.34,5.46
Plan List,99,719,790,1045,1067,1105,281,1109,89.899%,.09585,0.11,0.24
View Plans,250,766,799,1077,1108,1193,299,1249,0.000%,2.89261,4.03,6.33
Phone and Fax Accordian,750,772,800,1088,1111,1223,289,1656,0.000%,2.08692,3.10,5.51
Organizations List,99,740,803,1049,1068,1141,298,1167,89.899%,.09935,0.14,0.25
View Organizations,250,799,840,1092,1111,1131,297,1375,0.000%,1.72708,2.36,3.79
Organization Addresses Accordian,250,826,843,1112,1134,1242,285,1900,0.000%,1.72689,2.40,4.69
Associated Cases Accordian,250,804,821,1098,1125,1316,315,1602,0.000%,1.71607,2.17,4.70
Contacts List,99,758,793,1081,1103,1169,294,1261,89.899%,.11006,0.19,0.28
View Contacts,250,741,795,1103,1144,1267,312,1307,0.000%,1.11634,1.63,2.45
Contact Addresses Accordian,250,748,805,1078,1109,1208,293,1317,0.000%,1.11461,1.53,3.03
Patient Relationships Accordian,250,749,794,1079,1115,1205,299,1292,0.000%,1.11572,1.43,2.90
Associated Healthcare Facilities Accordian,250,760,807,1089,1115,1191,306,1333,0.000%,1.11496,1.64,2.91
Associated Organization Accordian,250,750,797,1080,1104,1181,308,1252,0.000%,1.11323,1.50,2.93
Associated Pharmacies Accordian,250,761,804,1094,1121,1324,305,1489,0.000%,1.11547,1.53,2.91
Contact Cases Accordian,250,1722,1636,2438,2802,3044,901,3419,0.000%,1.10838,11.11,3.07
LayoutHEalthCareFacility,99,818,826,1134,1297,1396,272,1404,89.899%,.13605,0.60,0.30
ListofFacility,98,782,803,1076,1099,1467,275,2077,89.796%,.13695,0.64,0.35
ViewIndividualFacility,10,854,851,1065,1065,1167,547,1167,0.000%,.16167,0.15,0.35
EntityLayoutFacility,10,1299,1381,1604,1604,1657,843,1657,0.000%,.15769,11.11,0.34
Facility Phone and Fax Information,10,846,849,1042,1042,1173,603,1173,0.000%,.14945,0.19,0.39
facility_addresses,10,762,803,998,998,1091,341,1091,0.000%,.14096,0.18,0.36
facility_Associated Contacts,10,862,1023,1098,1098,1107,337,1107,0.000%,.13661,0.17,0.36
facility_Associated Provider,10,834,826,1064,1064,1114,347,1114,0.000%,.14323,0.18,0.38
facility_Associated Cases,10,1622,1651,1950,1950,2223,1239,2223,0.000%,.14652,0.19,0.40
TOTAL,11236,826,822,1136,1359,1818,260,16553,13.777%,6.79586,38.21,17.39
